CDSACCNO,precision@k,recall@k,num_test_items,portfolio_size,recommendations
BMS-10073-LC/00,0.0,0.0,1,11,"['KDL', 'JINS', 'LVEN', 'AFSL', 'WAPO', 'BFN', 'CIT', 'CTHR', 'CALF', 'RENU']"
BMS-10078-LC/00,0.0,0.0,1,11,"['LCEY', 'RGEM', 'SEYB', 'CALF', 'SLND', 'NDB', 'HNB', 'NIFL', 'AFS', 'CTHR']"
BMS-10089-LC/00,0.0,0.0,1,17,"['LCEY', 'DOCK', 'MASK', 'HOPL', 'BALA', 'CFLB', 'AFS', 'RENU', 'CPRT', 'HAPU']"
BMS-10284-LC/00,0.0,0.0,1,13,"['DFCC', 'NTB', 'HDFC', 'COMB', 'PLC', 'VFIN', 'UBC', 'AHPL', 'CFIN', 'LOFC']"
BMS-10463-LC/00,0.0,0.0,1,12,"['EDEN', 'PLC', 'CHOT', 'REEF', 'MADU', 'RWSL', 'SHOT', 'UBC', 'HOPL', 'RIL']"
BMS-10544-LC/00,0.0,0.0,1,27,"['LMF', 'COCR', 'ALLI', 'AHPL', 'UDPL', 'RENU', 'AHUN', 'HASU', 'KGAL', 'GHLL']"
BMS-10594-LC/00,0.0,0.0,1,13,"['LCEY', 'HOPL', 'MADU', 'AMSL', 'ASIR', 'HPFL', 'CFVF', 'HPL', 'BFN', 'LDEV']"
BMS-10939-LC/00,0.0,0.0,1,17,"['KHC', 'AAF', 'ACAP', 'CIT', 'AMF', 'DIAL', 'ALHP', 'HVA', 'SERV', 'AFS']"
BMS-10940-LC/00,0.0,0.0,1,14,"['KHC', 'HVA', 'AAF', 'GRAN', 'AMF', 'CITH', 'DIAL', 'EXT', 'MRH', 'ALHP']"
BMS-11214-LC/00,0.0,0.0,1,49,"['HSIG', 'AHPL', 'PALM', 'STAF', 'JINS', 'MARA', 'KHL', 'AHUN', 'LHL', 'RENU']"
BMS-11289-LC/00,0.0,0.0,1,14,"['COCR', 'ALLI', 'CDB', 'UDPL', 'KCAB', 'NIFL', 'KVAL', 'LMF', 'NAMU', 'ACL']"
BMS-11421-LC/00,0.0,0.0,1,15,"['PAP', 'RWSL', 'TAP', 'LCBF', 'KOTA', 'AMF', 'NHL', 'CSF', 'REEF', 'LDEV']"
BMS-11512-LC/00,0.0,0.0,1,14,"['CFVF', 'RICH', 'CIC', 'SCAP', 'SLTL', 'SINS', 'DIAL', 'JINS', 'AGST', 'UAL']"
BMS-11721-LC/00,0.0,0.0,1,14,"['AMSL', 'PINS', 'MAL', 'KVAL', 'HOPL', 'CIC', 'JINS', 'KGAL', 'VPEL', 'PLC']"
BMS-11807-LC/00,0.0,0.0,1,21,"['COMB', 'HHL', 'KHL', 'DFCC', 'CCS', 'ALUM', 'DIPD', 'LOFC', 'CIC', 'SUN']"
BMS-11829-LI/00,0.0,0.0,1,25,"['ATL', 'MDL', 'TAJ', 'LGL', 'MEL', 'LITE', 'EAST', 'MRH', 'ACAP', 'KHC']"
BMS-11913-LI/00,0.0,0.0,1,11,"['OFEQ', 'CTHR', 'CALF', 'HAPU', 'ATLL', 'CPRT', 'SINI', 'CDB', 'HOPL', 'LVEN']"
BMS-12011-LI/00,0.0,0.0,1,10,"['CTEA', 'MCPL', 'CINS', 'LAMB', 'CCS', 'CARG', 'LUMX', 'LION', 'UCAR', 'CWM']"
